2017-07-17 13:27:23 | -=< Temperature Logger Restart >=-
2017-07-17 13:27:24 | TEMPLOG : WellhouseOne | 085.100
2017-07-17 13:27:24 | TEMPLOG : To   GeoLoop | 089.600
2017-07-17 13:27:25 | TEMPLOG : Table    One | 112.100
2017-07-17 13:28:25 | TEMPLOG : WellhouseOne | 086.000
2017-07-17 13:28:26 | TEMPLOG : Table    One | 111.200
2017-07-17 13:29:26 | TEMPLOG : WellhouseOne | 085.100
2017-07-17 13:29:27 | TEMPLOG : To   GeoLoop | 090.500
2017-07-17 13:30:28 | TEMPLOG : Table    One | 112.100
2017-07-17 13:31:28 | TEMPLOG : WellhouseOne | 086.000
2017-07-17 13:32:30 | TEMPLOG : WellhouseOne | 085.100
2017-07-17 13:32:31 | TEMPLOG : Table    One | 113.000
2017-07-17 13:33:32 | TEMPLOG : Table    One | 113.900
2017-07-17 13:35:33 | TEMPLOG : Table    One | 113.000
2017-07-17 13:36:34 | TEMPLOG : Table    One | 112.100
2017-07-17 13:38:36 | TEMPLOG : Table    One | 113.000
2017-07-17 13:40:37 | TEMPLOG : WellhouseOne | 086.000
2017-07-17 13:41:39 | TEMPLOG : Table    One | 112.100
2017-07-17 13:44:46 | TEMPLOG : Table    One | 113.000
2017-07-17 13:45:47 | TEMPLOG : Table    One | 113.900
2017-07-17 13:46:48 | TEMPLOG : Table    One | 113.000
2017-07-17 13:48:49 | TEMPLOG : WellhouseOne | 085.100
2017-07-17 13:49:49 | TEMPLOG : WellhouseOne | 086.000
2017-07-17 13:50:51 | TEMPLOG : Table    One | 112.100
2017-07-17 13:52:52 | TEMPLOG : WellhouseOne | 085.100
2017-07-17 13:52:52 | TEMPLOG : Table    One | 113.000
2017-07-17 13:53:53 | TEMPLOG : Table    One | 113.900
2017-07-17 13:54:54 | TEMPLOG : Table    One | 114.800
2017-07-17 13:55:54 | TEMPLOG : WellhouseOne | 086.000
2017-07-17 13:56:55 | TEMPLOG : Table    One | 113.900
2017-07-17 13:57:56 | TEMPLOG : Table    One | 112.100
2017-07-17 13:58:59 | TEMPLOG : Table    One | 113.900
2017-07-17 14:00:00 | TEMPLOG : To   GeoLoop | 090.500
2017-07-17 14:00:00 | TEMPLOG : Table    One | 113.000
2017-07-17 14:01:01 | TEMPLOG : WellhouseOne | 085.100
2017-07-17 14:02:01 | TEMPLOG : WellhouseOne | 086.000
2017-07-17 14:02:01 | TEMPLOG : To   GeoLoop | 089.600
2017-07-17 14:02:02 | TEMPLOG : Table    One | 112.100
2017-07-17 14:03:03 | TEMPLOG : Table    One | 110.300
2017-07-17 14:04:04 | TEMPLOG : To   GeoLoop | 088.700
2017-07-17 14:04:04 | TEMPLOG : Table    One | 109.400
2017-07-17 14:05:05 | TEMPLOG : WellhouseOne | 085.100
2017-07-17 14:05:06 | TEMPLOG : To   GeoLoop | 089.600
2017-07-17 14:06:06 | TEMPLOG : WellhouseOne | 086.000
2017-07-17 14:06:07 | TEMPLOG : Table    One | 111.200
2017-07-17 14:07:07 | TEMPLOG : To   GeoLoop | 090.500
2017-07-17 14:07:07 | TEMPLOG : Table    One | 110.300
2017-07-17 14:08:08 | TEMPLOG : Table    One | 111.200
2017-07-17 14:09:09 | TEMPLOG : To   GeoLoop | 091.400
2017-07-17 14:10:10 | TEMPLOG : Table    One | 113.000
2017-07-17 14:13:12 | TEMPLOG : WellhouseOne | 086.900
2017-07-17 14:13:12 | TEMPLOG : Table    One | 112.100
2017-07-17 14:14:12 | TEMPLOG : WellhouseOne | 086.000
2017-07-17 14:14:13 | TEMPLOG : Table    One | 113.000
2017-07-17 14:15:15 | TEMPLOG : Table    One | 113.900
2017-07-17 14:16:15 | TEMPLOG : To   GeoLoop | 092.300
2017-07-17 14:16:15 | TEMPLOG : Table    One | 114.800
2017-07-17 14:17:17 | TEMPLOG : Table    One | 115.700
2017-07-17 14:19:18 | TEMPLOG : Table    One | 116.600
2017-07-17 14:20:19 | TEMPLOG : WellhouseOne | 085.100
2017-07-17 14:21:19 | TEMPLOG : WellhouseOne | 086.000
2017-07-17 14:21:21 | TEMPLOG : Table    One | 114.800
2017-07-17 14:22:21 | TEMPLOG : Table    One | 113.900
2017-07-17 14:24:23 | TEMPLOG : WellhouseOne | 085.100
2017-07-17 14:24:24 | TEMPLOG : Table    One | 114.800
2017-07-17 14:25:25 | TEMPLOG : WellhouseOne | 086.000
2017-07-17 14:25:25 | TEMPLOG : To   GeoLoop | 093.200
2017-07-17 14:27:28 | TEMPLOG : Table    One | 115.700
2017-07-17 14:30:32 | TEMPLOG : Table    One | 116.600
2017-07-17 14:31:32 | TEMPLOG : WellhouseOne | 085.100
