2017-06-28 15:42:38 | -=< Temperature Logger Restart >=-
2017-06-28 15:42:38 | TEMPLOG : WellhouseOne | 081.500
2017-06-28 15:42:39 | TEMPLOG : To   GeoLoop | 087.800
2017-06-28 15:42:39 | TEMPLOG : Table    One | 086.900
2017-06-28 15:43:39 | TEMPLOG : WellhouseOne | 082.400
2017-06-28 15:43:39 | TEMPLOG : To   GeoLoop | 086.000
2017-06-28 15:44:41 | TEMPLOG : Table    One | 086.000
2017-06-28 15:45:41 | TEMPLOG : WellhouseOne | 081.500
2017-06-28 15:45:42 | TEMPLOG : To   GeoLoop | 085.100
2017-06-28 15:49:47 | TEMPLOG : WellhouseOne | 082.400
2017-06-28 15:50:48 | TEMPLOG : WellhouseOne | 081.500
2017-06-28 15:50:48 | TEMPLOG : To   GeoLoop | 084.200
2017-06-28 15:50:48 | TEMPLOG : Table    One | 085.100
2017-06-28 15:52:49 | TEMPLOG : To   GeoLoop | 083.300
2017-06-28 15:55:53 | TEMPLOG : Table    One | 084.200
2017-06-28 15:58:55 | TEMPLOG : To   GeoLoop | 082.400
2017-06-28 16:00:56 | TEMPLOG : WellhouseOne | 081.500
2017-06-28 16:00:56 | TEMPLOG : To   GeoLoop | 082.400
2017-06-28 16:00:56 | TEMPLOG : Table    One | 084.200
2017-06-28 16:08:03 | TEMPLOG : WellhouseOne | 080.600
2017-06-28 16:17:12 | TEMPLOG : To   GeoLoop | 084.200
2017-06-28 16:17:13 | TEMPLOG : Table    One | 085.100
2017-06-28 16:20:15 | TEMPLOG : To   GeoLoop | 085.100
2017-06-28 16:20:15 | TEMPLOG : Table    One | 086.000
2017-06-28 16:24:19 | TEMPLOG : Table    One | 086.900
2017-06-28 16:26:20 | TEMPLOG : To   GeoLoop | 086.000
2017-06-28 16:27:22 | TEMPLOG : To   GeoLoop | 086.900
2017-06-28 16:27:22 | TEMPLOG : Table    One | 087.800
2017-06-28 16:28:23 | TEMPLOG : Table    One | 088.700
2017-06-28 16:30:24 | TEMPLOG : Table    One | 089.600
2017-06-28 16:31:25 | TEMPLOG : Table    One | 088.700
2017-06-28 16:35:30 | TEMPLOG : To   GeoLoop | 086.000
2017-06-28 16:35:30 | TEMPLOG : Table    One | 087.800
2017-06-28 16:36:31 | TEMPLOG : To   GeoLoop | 085.100
2017-06-28 16:39:33 | TEMPLOG : To   GeoLoop | 086.000
2017-06-28 16:43:37 | TEMPLOG : To   GeoLoop | 085.100
2017-06-28 16:44:37 | TEMPLOG : To   GeoLoop | 084.200
2017-06-28 16:44:38 | TEMPLOG : Table    One | 086.900
2017-06-28 16:46:39 | TEMPLOG : To   GeoLoop | 083.300
