2017-04-28 19:11:20 | -=< Temperature Logger Restart >=-
2017-04-28 19:11:21 | TEMPLOG : WellhouseOne | 041.000
2017-04-28 19:11:21 | TEMPLOG : To   GeoLoop | 058.100
2017-04-28 19:11:21 | TEMPLOG : Table    One | 046.400
2017-04-28 19:14:24 | TEMPLOG : WellhouseOne | 040.100
2017-04-28 19:15:25 | TEMPLOG : WellhouseOne | 041.000
2017-04-28 19:20:30 | TEMPLOG : WellhouseOne | 040.100
2017-04-28 19:25:37 | TEMPLOG : Table    One | 045.500
2017-04-28 19:26:38 | TEMPLOG : Table    One | 046.400
2017-04-28 19:28:39 | TEMPLOG : WellhouseOne | 041.000
2017-04-28 19:29:41 | TEMPLOG : Table    One | 045.500
2017-04-28 19:33:45 | TEMPLOG : To   GeoLoop | 057.200
2017-04-28 19:34:46 | TEMPLOG : To   GeoLoop | 058.100
2017-04-28 19:39:50 | TEMPLOG : WellhouseOne | 041.900
2017-04-28 19:42:53 | TEMPLOG : To   GeoLoop | 057.200
2017-04-28 19:45:55 | TEMPLOG : Table    One | 044.600
2017-04-28 19:48:57 | TEMPLOG : WellhouseOne | 041.000
2017-04-28 20:00:07 | TEMPLOG : WellhouseOne | 041.000
2017-04-28 20:00:07 | TEMPLOG : To   GeoLoop | 057.200
2017-04-28 20:00:08 | TEMPLOG : Table    One | 045.500
2017-04-28 20:01:09 | TEMPLOG : Table    One | 046.400
2017-04-28 20:02:09 | TEMPLOG : To   GeoLoop | 058.100
2017-04-28 20:02:09 | TEMPLOG : Table    One | 047.300
2017-04-28 20:05:11 | TEMPLOG : WellhouseOne | 040.100
2017-04-28 20:05:12 | TEMPLOG : Table    One | 048.200
2017-04-28 20:06:12 | TEMPLOG : Table    One | 047.300
2017-04-28 20:07:13 | TEMPLOG : Table    One | 048.200
2017-04-28 20:20:27 | TEMPLOG : Table    One | 047.300
2017-04-28 20:21:28 | TEMPLOG : Table    One | 048.200
2017-04-28 20:22:29 | TEMPLOG : Table    One | 047.300
2017-04-28 20:23:30 | TEMPLOG : Table    One | 048.200
2017-04-28 20:24:32 | TEMPLOG : Table    One | 047.300
2017-04-28 20:25:32 | TEMPLOG : Table    One | 048.200
2017-04-28 20:26:33 | TEMPLOG : Table    One | 047.300
2017-04-28 20:27:33 | TEMPLOG : To   GeoLoop | 057.200
2017-04-28 20:33:38 | TEMPLOG : WellhouseOne | 041.000
2017-04-28 20:34:40 | TEMPLOG : Table    One | 048.200
2017-04-28 20:37:42 | TEMPLOG : To   GeoLoop | 058.100
2017-04-28 20:40:46 | TEMPLOG : To   GeoLoop | 057.200
2017-04-28 20:41:47 | TEMPLOG : To   GeoLoop | 058.100
2017-04-28 20:42:47 | TEMPLOG : WellhouseOne | 040.100
2017-04-28 20:42:48 | TEMPLOG : To   GeoLoop | 057.200
2017-04-28 20:43:48 | TEMPLOG : WellhouseOne | 041.000
2017-04-28 20:43:49 | TEMPLOG : To   GeoLoop | 058.100
2017-04-28 20:44:49 | TEMPLOG : WellhouseOne | 040.100
2017-04-28 20:45:51 | TEMPLOG : To   GeoLoop | 057.200
2017-04-28 20:52:57 | TEMPLOG : Table    One | 047.300
2017-04-28 20:54:58 | TEMPLOG : WellhouseOne | 039.200
2017-04-28 20:54:59 | TEMPLOG : Table    One | 046.400
2017-04-28 20:55:59 | TEMPLOG : WellhouseOne | 040.100
2017-04-28 20:58:02 | TEMPLOG : Table    One | 045.500
2017-04-28 21:00:03 | TEMPLOG : WellhouseOne | 040.100
2017-04-28 21:00:04 | TEMPLOG : To   GeoLoop | 057.200
2017-04-28 21:00:04 | TEMPLOG : Table    One | 045.500
2017-04-28 21:02:05 | TEMPLOG : WellhouseOne | 039.200
2017-04-28 21:03:05 | TEMPLOG : WellhouseOne | 040.100
2017-04-28 21:06:09 | TEMPLOG : Table    One | 044.600
2017-04-28 21:07:09 | TEMPLOG : Table    One | 045.500
2017-04-28 21:08:10 | TEMPLOG : Table    One | 044.600
2017-04-28 21:11:12 | TEMPLOG : WellhouseOne | 039.200
2017-04-28 21:22:22 | TEMPLOG : WellhouseOne | 040.100
2017-04-28 21:26:27 | TEMPLOG : WellhouseOne | 041.000
2017-04-28 21:26:28 | TEMPLOG : To   GeoLoop | 056.300
2017-04-28 21:27:29 | TEMPLOG : To   GeoLoop | 057.200
2017-04-28 21:30:32 | TEMPLOG : WellhouseOne | 040.100
2017-04-28 21:36:36 | TEMPLOG : WellhouseOne | 039.200
2017-04-28 21:36:36 | TEMPLOG : Table    One | 045.500
2017-04-28 21:37:37 | TEMPLOG : Table    One | 044.600
2017-04-28 21:40:41 | TEMPLOG : Table    One | 045.500
2017-04-28 21:41:41 | TEMPLOG : WellhouseOne | 038.300
2017-04-28 21:42:43 | TEMPLOG : Table    One | 044.600
2017-04-28 21:48:50 | TEMPLOG : Table    One | 045.500
