2017-01-01 07:16:59 | -=< Temperature Logger Restart >=-
2017-01-01 07:17:00 | TEMPLOG : WellhouseOne | 128.300
2017-01-01 07:17:00 | TEMPLOG : Bio   Filter | 025.700
2017-01-01 07:17:00 | TEMPLOG : To   GeoLoop | 038.300
2017-01-01 07:17:00 | TEMPLOG : Table    One | 025.700
2017-01-01 07:18:01 | TEMPLOG : WellhouseOne | 131.000
2017-01-01 07:19:02 | TEMPLOG : WellhouseOne | 133.700
2017-01-01 07:20:05 | TEMPLOG : WellhouseOne | 135.500
2017-01-01 07:22:09 | TEMPLOG : WellhouseOne | 138.200
2017-01-01 07:24:12 | TEMPLOG : WellhouseOne | 122.000
2017-01-01 07:25:13 | TEMPLOG : WellhouseOne | 094.100
2017-01-01 07:26:15 | TEMPLOG : WellhouseOne | 081.500
2017-01-01 07:27:16 | TEMPLOG : WellhouseOne | 071.600
2017-01-01 07:28:17 | TEMPLOG : WellhouseOne | 066.200
2017-01-01 07:29:18 | TEMPLOG : WellhouseOne | 061.700
2017-01-01 07:30:21 | TEMPLOG : WellhouseOne | 058.100
2017-01-01 07:31:22 | TEMPLOG : WellhouseOne | 056.300
2017-01-01 07:32:24 | TEMPLOG : WellhouseOne | 053.600
2017-01-01 07:33:25 | TEMPLOG : WellhouseOne | 051.800
2017-01-01 07:34:26 | TEMPLOG : WellhouseOne | 050.900
2017-01-01 07:38:08 | -=< Temperature Logger Restart >=-
2017-01-01 07:38:09 | TEMPLOG : WellhouseOne | 046.400
2017-01-01 07:38:09 | TEMPLOG : Bio   Filter | 025.700
2017-01-01 07:38:09 | TEMPLOG : To   GeoLoop | 038.300
2017-01-01 07:38:10 | TEMPLOG : Table    One | 025.700
2017-01-01 07:39:10 | TEMPLOG : Bio   Filter | 026.600
2017-01-01 07:39:10 | TEMPLOG : Table    One | 026.600
2017-01-01 07:40:10 | TEMPLOG : WellhouseOne | 045.500
2017-01-01 07:41:11 | TEMPLOG : WellhouseOne | 044.600
2017-01-01 07:42:12 | TEMPLOG : WellhouseOne | 043.700
2017-01-01 07:42:13 | TEMPLOG : Table    One | 027.500
2017-01-01 07:43:14 | TEMPLOG : Bio   Filter | 027.500
2017-01-01 07:44:15 | TEMPLOG : WellhouseOne | 042.800
2017-01-01 07:44:16 | TEMPLOG : Table    One | 028.400
2017-01-01 07:45:16 | TEMPLOG : WellhouseOne | 064.400
2017-01-01 07:45:17 | TEMPLOG : To   GeoLoop | 039.200
2017-01-01 07:46:17 | TEMPLOG : WellhouseOne | 106.700
2017-01-01 07:46:17 | TEMPLOG : Bio   Filter | 028.400
2017-01-01 07:47:18 | TEMPLOG : WellhouseOne | 118.400
2017-01-01 07:48:19 | TEMPLOG : WellhouseOne | 125.600
2017-01-01 07:48:21 | TEMPLOG : Table    One | 029.300
2017-01-01 07:49:21 | TEMPLOG : WellhouseOne | 130.100
2017-01-01 07:49:21 | TEMPLOG : Bio   Filter | 029.300
2017-01-01 07:50:23 | TEMPLOG : WellhouseOne | 131.900
2017-01-01 07:51:24 | TEMPLOG : WellhouseOne | 134.600
2017-01-01 07:51:24 | TEMPLOG : Bio   Filter | 030.200
2017-01-01 07:51:25 | TEMPLOG : Table    One | 030.200
2017-01-01 07:52:26 | TEMPLOG : WellhouseOne | 136.400
2017-01-01 07:53:27 | TEMPLOG : WellhouseOne | 137.300
