2017-03-18 07:00:55 | -=< Temperature Logger Restart >=-
2017-03-18 07:00:56 | TEMPLOG : WellhouseOne | 054.500
2017-03-18 07:00:56 | TEMPLOG : To   GeoLoop | 051.800
2017-03-18 07:00:56 | TEMPLOG : Table    One | 036.500
2017-03-18 07:01:56 | TEMPLOG : WellhouseOne | 053.600
2017-03-18 07:03:57 | TEMPLOG : WellhouseOne | 052.700
2017-03-18 07:05:59 | TEMPLOG : WellhouseOne | 051.800
2017-03-18 07:08:01 | TEMPLOG : WellhouseOne | 050.900
2017-03-18 07:13:05 | TEMPLOG : WellhouseOne | 050.000
2017-03-18 07:17:08 | TEMPLOG : WellhouseOne | 049.100
2017-03-18 07:18:09 | TEMPLOG : WellhouseOne | 103.100
2017-03-18 07:19:09 | TEMPLOG : WellhouseOne | 122.900
2017-03-18 07:20:10 | TEMPLOG : WellhouseOne | 123.800
2017-03-18 07:21:11 | TEMPLOG : WellhouseOne | 089.600
2017-03-18 07:22:12 | TEMPLOG : WellhouseOne | 078.800
2017-03-18 07:22:13 | TEMPLOG : Table    One | 037.400
2017-03-18 07:23:13 | TEMPLOG : WellhouseOne | 072.500
2017-03-18 07:24:14 | TEMPLOG : WellhouseOne | 067.100
2017-03-18 07:25:15 | TEMPLOG : WellhouseOne | 064.400
2017-03-18 07:26:17 | TEMPLOG : WellhouseOne | 061.700
2017-03-18 07:26:17 | TEMPLOG : Table    One | 038.300
2017-03-18 07:27:18 | TEMPLOG : WellhouseOne | 059.900
2017-03-18 07:28:18 | TEMPLOG : WellhouseOne | 058.100
2017-03-18 07:29:19 | TEMPLOG : WellhouseOne | 057.200
2017-03-18 07:30:21 | TEMPLOG : WellhouseOne | 056.300
2017-03-18 07:30:22 | TEMPLOG : Table    One | 039.200
2017-03-18 07:31:23 | TEMPLOG : WellhouseOne | 055.400
2017-03-18 07:32:24 | TEMPLOG : WellhouseOne | 054.500
2017-03-18 07:34:27 | TEMPLOG : WellhouseOne | 053.600
2017-03-18 07:35:29 | TEMPLOG : WellhouseOne | 052.700
2017-03-18 07:36:30 | TEMPLOG : Table    One | 040.100
2017-03-18 07:37:31 | TEMPLOG : WellhouseOne | 051.800
2017-03-18 07:37:31 | TEMPLOG : To   GeoLoop | 052.700
2017-03-18 07:40:34 | TEMPLOG : WellhouseOne | 050.900
2017-03-18 07:40:35 | TEMPLOG : Table    One | 041.000
2017-03-18 07:44:38 | TEMPLOG : WellhouseOne | 050.000
2017-03-18 07:44:39 | TEMPLOG : Table    One | 041.900
2017-03-18 07:48:42 | TEMPLOG : Table    One | 042.800
2017-03-18 07:49:42 | TEMPLOG : WellhouseOne | 105.800
2017-03-18 07:50:43 | TEMPLOG : WellhouseOne | 125.600
2017-03-18 07:51:43 | TEMPLOG : WellhouseOne | 097.700
2017-03-18 07:52:45 | TEMPLOG : WellhouseOne | 081.500
2017-03-18 07:53:45 | TEMPLOG : WellhouseOne | 074.300
2017-03-18 07:54:46 | TEMPLOG : WellhouseOne | 068.900
2017-03-18 07:54:47 | TEMPLOG : Table    One | 043.700
2017-03-18 07:55:47 | TEMPLOG : WellhouseOne | 065.300
2017-03-18 07:56:47 | TEMPLOG : WellhouseOne | 061.700
2017-03-18 07:57:48 | TEMPLOG : WellhouseOne | 059.900
2017-03-18 07:58:50 | TEMPLOG : WellhouseOne | 058.100
2017-03-18 07:59:51 | TEMPLOG : WellhouseOne | 057.200
