2017-08-29 13:11:58 | -=< Temperature Logger Restart >=-
2017-08-29 13:11:58 | TEMPLOG : WellhouseOne | 081.500
2017-08-29 13:11:58 | TEMPLOG : To   GeoLoop | 088.700
2017-08-29 13:11:59 | TEMPLOG : Table    One | 080.600
2017-08-29 13:15:02 | TEMPLOG : WellhouseOne | 082.400
2017-08-29 13:16:03 | TEMPLOG : WellhouseOne | 081.500
2017-08-29 13:19:05 | TEMPLOG : WellhouseOne | 082.400
2017-08-29 13:20:06 | TEMPLOG : WellhouseOne | 081.500
2017-08-29 13:23:09 | TEMPLOG : WellhouseOne | 082.400
2017-08-29 13:23:09 | TEMPLOG : To   GeoLoop | 089.600
2017-08-29 13:25:10 | TEMPLOG : WellhouseOne | 081.500
2017-08-29 13:29:14 | TEMPLOG : WellhouseOne | 080.600
2017-08-29 13:30:16 | TEMPLOG : WellhouseOne | 081.500
2017-08-29 13:32:18 | TEMPLOG : Table    One | 081.500
2017-08-29 13:33:25 | TEMPLOG : Table    One | 080.600
2017-08-29 13:34:25 | TEMPLOG : To   GeoLoop | 090.500
2017-08-29 13:35:31 | TEMPLOG : WellhouseOne | 083.300
2017-08-29 13:35:31 | TEMPLOG : To   GeoLoop | 089.600
2017-08-29 13:36:33 | TEMPLOG : Table    One | 081.500
2017-08-29 13:38:34 | TEMPLOG : WellhouseOne | 084.200
2017-08-29 13:39:35 | TEMPLOG : WellhouseOne | 085.100
2017-08-29 13:40:36 | TEMPLOG : WellhouseOne | 084.200
2017-08-29 13:42:37 | TEMPLOG : WellhouseOne | 085.100
2017-08-29 13:43:39 | TEMPLOG : WellhouseOne | 084.200
2017-08-29 13:43:40 | TEMPLOG : To   GeoLoop | 088.700
