2017-07-04 05:59:53 | -=< Temperature Logger Restart >=-
2017-07-04 05:59:54 | TEMPLOG : WellhouseOne | 059.000
2017-07-04 05:59:54 | TEMPLOG : To   GeoLoop | 066.200
2017-07-04 05:59:54 | TEMPLOG : Table    One | 058.100
2017-07-04 06:00:55 | TEMPLOG : WellhouseOne | 059.000
2017-07-04 06:00:55 | TEMPLOG : To   GeoLoop | 067.100
2017-07-04 06:00:55 | TEMPLOG : Table    One | 058.100
2017-07-04 06:01:56 | TEMPLOG : To   GeoLoop | 066.200
2017-07-04 06:02:58 | TEMPLOG : To   GeoLoop | 067.100
2017-07-04 06:06:00 | TEMPLOG : Table    One | 059.000
2017-07-04 06:07:01 | TEMPLOG : Table    One | 058.100
2017-07-04 06:08:02 | TEMPLOG : Table    One | 059.000
2017-07-04 06:10:05 | TEMPLOG : Table    One | 058.100
2017-07-04 06:16:10 | TEMPLOG : WellhouseOne | 059.900
2017-07-04 06:16:10 | TEMPLOG : Table    One | 059.000
2017-07-04 06:17:10 | TEMPLOG : WellhouseOne | 059.000
2017-07-04 06:17:11 | TEMPLOG : Table    One | 058.100
2017-07-04 06:18:11 | TEMPLOG : WellhouseOne | 059.900
2017-07-04 06:19:12 | TEMPLOG : Table    One | 059.000
2017-07-04 06:25:18 | TEMPLOG : WellhouseOne | 059.000
2017-07-04 06:25:19 | TEMPLOG : Table    One | 059.900
2017-07-04 06:27:19 | TEMPLOG : WellhouseOne | 059.900
2017-07-04 06:28:20 | TEMPLOG : WellhouseOne | 059.000
2017-07-04 06:30:22 | TEMPLOG : To   GeoLoop | 068.000
2017-07-04 06:30:22 | TEMPLOG : Table    One | 060.800
2017-07-04 06:31:22 | TEMPLOG : To   GeoLoop | 067.100
2017-07-04 06:32:23 | TEMPLOG : Table    One | 061.700
2017-07-04 06:33:24 | TEMPLOG : To   GeoLoop | 068.000
2017-07-04 06:34:24 | TEMPLOG : WellhouseOne | 059.900
2017-07-04 06:35:25 | TEMPLOG : To   GeoLoop | 067.100
2017-07-04 06:35:25 | TEMPLOG : Table    One | 060.800
2017-07-04 06:36:26 | TEMPLOG : WellhouseOne | 059.000
2017-07-04 06:37:27 | TEMPLOG : WellhouseOne | 059.900
2017-07-04 06:37:27 | TEMPLOG : To   GeoLoop | 068.000
2017-07-04 06:37:27 | TEMPLOG : Table    One | 061.700
2017-07-04 06:39:28 | TEMPLOG : WellhouseOne | 059.000
2017-07-04 06:45:33 | TEMPLOG : WellhouseOne | 059.900
2017-07-04 06:47:36 | TEMPLOG : Table    One | 062.600
2017-07-04 06:51:40 | TEMPLOG : Table    One | 063.500
2017-07-04 06:54:43 | TEMPLOG : To   GeoLoop | 068.900
2017-07-04 06:55:43 | TEMPLOG : To   GeoLoop | 068.000
2017-07-04 06:56:44 | TEMPLOG : WellhouseOne | 060.800
2017-07-04 06:58:46 | TEMPLOG : To   GeoLoop | 068.900
2017-07-04 06:59:47 | TEMPLOG : To   GeoLoop | 068.000
2017-07-04 07:00:48 | TEMPLOG : WellhouseOne | 060.800
2017-07-04 07:00:48 | TEMPLOG : To   GeoLoop | 068.000
2017-07-04 07:00:48 | TEMPLOG : Table    One | 064.400
2017-07-04 07:04:53 | TEMPLOG : To   GeoLoop | 068.900
2017-07-04 07:05:54 | TEMPLOG : To   GeoLoop | 068.000
2017-07-04 07:06:56 | TEMPLOG : To   GeoLoop | 068.900
2017-07-04 07:07:56 | TEMPLOG : To   GeoLoop | 068.000
2017-07-04 07:08:58 | TEMPLOG : To   GeoLoop | 068.900
2017-07-04 07:21:09 | TEMPLOG : Table    One | 065.300
2017-07-04 07:22:09 | TEMPLOG : WellhouseOne | 061.700
2017-07-04 07:24:13 | TEMPLOG : To   GeoLoop | 068.000
2017-07-04 07:25:14 | TEMPLOG : To   GeoLoop | 068.900
2017-07-04 07:34:25 | TEMPLOG : Table    One | 066.200
2017-07-04 07:37:27 | TEMPLOG : WellhouseOne | 062.600
2017-07-04 07:48:38 | TEMPLOG : Table    One | 067.100
2017-07-04 07:56:46 | TEMPLOG : WellhouseOne | 063.500
2017-07-04 08:00:51 | TEMPLOG : WellhouseOne | 063.500
2017-07-04 08:00:51 | TEMPLOG : To   GeoLoop | 068.900
