2017-08-17 08:36:10 | -=< Temperature Logger Restart >=-
2017-08-17 08:36:11 | TEMPLOG : WellhouseOne | 059.900
2017-08-17 08:36:11 | TEMPLOG : To   GeoLoop | 068.900
2017-08-17 08:36:11 | TEMPLOG : Table    One | 065.300
2017-08-17 08:37:11 | TEMPLOG : WellhouseOne | 060.800
2017-08-17 08:38:13 | TEMPLOG : WellhouseOne | 059.900
2017-08-17 08:39:14 | TEMPLOG : WellhouseOne | 060.800
2017-08-17 08:41:17 | TEMPLOG : Table    One | 066.200
2017-08-17 08:44:19 | TEMPLOG : To   GeoLoop | 069.800
2017-08-17 08:47:23 | TEMPLOG : WellhouseOne | 061.700
2017-08-17 08:57:33 | TEMPLOG : Table    One | 067.100
2017-08-17 08:58:34 | TEMPLOG : WellhouseOne | 062.600
2017-08-17 09:00:36 | TEMPLOG : WellhouseOne | 062.600
2017-08-17 09:00:36 | TEMPLOG : To   GeoLoop | 069.800
2017-08-17 09:00:36 | TEMPLOG : Table    One | 067.100
2017-08-17 09:07:46 | TEMPLOG : To   GeoLoop | 070.700
2017-08-17 09:08:46 | TEMPLOG : WellhouseOne | 063.500
2017-08-17 09:17:57 | TEMPLOG : Table    One | 068.000
2017-08-17 09:18:57 | TEMPLOG : WellhouseOne | 064.400
2017-08-17 09:19:59 | TEMPLOG : To   GeoLoop | 071.600
2017-08-17 09:23:02 | TEMPLOG : WellhouseOne | 063.500
2017-08-17 09:23:02 | TEMPLOG : To   GeoLoop | 070.700
2017-08-17 09:25:05 | TEMPLOG : Table    One | 067.100
2017-08-17 09:35:14 | TEMPLOG : WellhouseOne | 064.400
2017-08-17 09:40:24 | TEMPLOG : Table    One | 068.000
2017-08-17 09:43:29 | TEMPLOG : WellhouseOne | 065.300
2017-08-17 09:44:30 | TEMPLOG : To   GeoLoop | 071.600
2017-08-17 09:45:30 | TEMPLOG : To   GeoLoop | 070.700
2017-08-17 09:46:37 | TEMPLOG : To   GeoLoop | 071.600
2017-08-17 09:52:43 | TEMPLOG : WellhouseOne | 066.200
2017-08-17 09:54:46 | TEMPLOG : Table    One | 068.900
2017-08-17 09:56:47 | TEMPLOG : WellhouseOne | 067.100
2017-08-17 10:00:53 | TEMPLOG : WellhouseOne | 067.100
2017-08-17 10:00:53 | TEMPLOG : To   GeoLoop | 071.600
2017-08-17 10:00:53 | TEMPLOG : Table    One | 068.900
2017-08-17 10:03:55 | TEMPLOG : To   GeoLoop | 072.500
2017-08-17 10:08:01 | TEMPLOG : Table    One | 069.800
2017-08-17 10:14:06 | TEMPLOG : WellhouseOne | 068.000
2017-08-17 10:24:15 | TEMPLOG : To   GeoLoop | 073.400
2017-08-17 10:25:16 | TEMPLOG : WellhouseOne | 068.900
2017-08-17 10:26:17 | TEMPLOG : Table    One | 070.700
2017-08-17 10:30:19 | TEMPLOG : WellhouseOne | 069.800
2017-08-17 10:34:22 | TEMPLOG : WellhouseOne | 070.700
2017-08-17 10:35:23 | TEMPLOG : WellhouseOne | 069.800
2017-08-17 10:36:24 | TEMPLOG : WellhouseOne | 070.700
2017-08-17 10:38:27 | TEMPLOG : To   GeoLoop | 074.300
2017-08-17 10:40:29 | TEMPLOG : WellhouseOne | 071.600
2017-08-17 10:40:29 | TEMPLOG : Table    One | 071.600
2017-08-17 10:43:34 | TEMPLOG : Table    One | 070.700
2017-08-17 10:44:35 | TEMPLOG : Table    One | 071.600
2017-08-17 10:46:35 | TEMPLOG : WellhouseOne | 072.500
