2017-10-09 09:13:26 | -=< Temperature Logger Restart >=-
2017-10-09 09:13:27 | TEMPLOG : WellhouseOne | 036.500
2017-10-09 09:13:27 | TEMPLOG : To   GeoLoop | 057.200
2017-10-09 09:13:28 | TEMPLOG : Table    One | 050.000
2017-10-09 09:14:29 | TEMPLOG : WellhouseOne | 035.600
2017-10-09 09:15:30 | TEMPLOG : WellhouseOne | 036.500
2017-10-09 09:15:32 | TEMPLOG : Table    One | 050.900
2017-10-09 09:17:33 | TEMPLOG : WellhouseOne | 035.600
2017-10-09 09:17:34 | TEMPLOG : Table    One | 050.000
2017-10-09 09:21:36 | TEMPLOG : To   GeoLoop | 056.300
2017-10-09 09:22:37 | TEMPLOG : To   GeoLoop | 057.200
2017-10-09 09:22:37 | TEMPLOG : Table    One | 050.900
2017-10-09 09:23:37 | TEMPLOG : Table    One | 050.000
2017-10-09 09:24:39 | TEMPLOG : Table    One | 050.900
2017-10-09 09:25:39 | TEMPLOG : WellhouseOne | 036.500
2017-10-09 09:25:40 | TEMPLOG : Table    One | 050.000
2017-10-09 09:26:41 | TEMPLOG : Table    One | 050.900
2017-10-09 09:39:52 | TEMPLOG : WellhouseOne | 035.600
2017-10-09 09:41:56 | TEMPLOG : WellhouseOne | 036.500
2017-10-09 09:42:58 | TEMPLOG : To   GeoLoop | 056.300
2017-10-09 09:43:59 | TEMPLOG : To   GeoLoop | 057.200
2017-10-09 09:48:03 | TEMPLOG : To   GeoLoop | 056.300
2017-10-09 09:49:05 | TEMPLOG : To   GeoLoop | 057.200
2017-10-09 09:51:06 | TEMPLOG : To   GeoLoop | 056.300
2017-10-09 09:51:06 | TEMPLOG : Table    One | 050.000
2017-10-09 09:52:06 | TEMPLOG : To   GeoLoop | 057.200
2017-10-09 09:52:07 | TEMPLOG : Table    One | 050.900
2017-10-09 09:53:07 | TEMPLOG : WellhouseOne | 037.400
2017-10-09 09:54:08 | TEMPLOG : To   GeoLoop | 056.300
2017-10-09 09:55:09 | TEMPLOG : To   GeoLoop | 057.200
2017-10-09 09:57:10 | TEMPLOG : To   GeoLoop | 056.300
2017-10-09 09:57:10 | TEMPLOG : Table    One | 050.000
2017-10-09 09:58:12 | TEMPLOG : To   GeoLoop | 057.200
2017-10-09 10:00:14 | TEMPLOG : WellhouseOne | 036.500
2017-10-09 10:00:14 | TEMPLOG : To   GeoLoop | 056.300
2017-10-09 10:00:14 | TEMPLOG : Table    One | 050.000
2017-10-09 10:01:15 | TEMPLOG : WellhouseOne | 037.400
2017-10-09 10:03:16 | TEMPLOG : WellhouseOne | 036.500
2017-10-09 10:03:16 | TEMPLOG : To   GeoLoop | 057.200
2017-10-09 10:04:18 | TEMPLOG : To   GeoLoop | 056.300
2017-10-09 10:07:20 | TEMPLOG : To   GeoLoop | 057.200
2017-10-09 10:07:21 | TEMPLOG : Table    One | 050.900
2017-10-09 10:12:26 | TEMPLOG : WellhouseOne | 037.400
2017-10-09 10:13:28 | TEMPLOG : WellhouseOne | 036.500
2017-10-09 10:14:30 | TEMPLOG : WellhouseOne | 037.400
2017-10-09 10:17:33 | TEMPLOG : WellhouseOne | 036.500
2017-10-09 10:18:34 | TEMPLOG : WellhouseOne | 037.400
2017-10-09 10:29:46 | TEMPLOG : WellhouseOne | 038.300
2017-10-09 10:31:48 | TEMPLOG : WellhouseOne | 037.400
2017-10-09 10:33:51 | TEMPLOG : WellhouseOne | 036.500
2017-10-09 10:34:51 | TEMPLOG : WellhouseOne | 037.400
2017-10-09 10:36:53 | TEMPLOG : WellhouseOne | 038.300
2017-10-09 10:36:54 | TEMPLOG : To   GeoLoop | 056.300
2017-10-09 10:37:54 | TEMPLOG : WellhouseOne | 037.400
2017-10-09 10:37:54 | TEMPLOG : To   GeoLoop | 057.200
2017-10-09 10:38:56 | TEMPLOG : WellhouseOne | 038.300
2017-10-09 10:41:59 | TEMPLOG : WellhouseOne | 039.200
2017-10-09 10:44:01 | TEMPLOG : WellhouseOne | 040.100
2017-10-09 10:47:04 | TEMPLOG : WellhouseOne | 041.000
2017-10-09 10:48:05 | TEMPLOG : WellhouseOne | 040.100
2017-10-09 10:48:05 | TEMPLOG : Table    One | 051.800
2017-10-09 10:49:06 | TEMPLOG : WellhouseOne | 041.000
2017-10-09 10:53:09 | TEMPLOG : To   GeoLoop | 056.300
2017-10-09 10:54:10 | TEMPLOG : To   GeoLoop | 057.200
2017-10-09 10:55:11 | TEMPLOG : To   GeoLoop | 056.300
2017-10-09 10:58:13 | TEMPLOG : To   GeoLoop | 055.400
2017-10-09 11:00:16 | TEMPLOG : WellhouseOne | 041.000
2017-10-09 11:00:16 | TEMPLOG : To   GeoLoop | 055.400
2017-10-09 11:00:17 | TEMPLOG : Table    One | 051.800
2017-10-09 11:02:20 | TEMPLOG : To   GeoLoop | 056.300
2017-10-09 11:03:22 | TEMPLOG : To   GeoLoop | 055.400
2017-10-09 11:05:24 | TEMPLOG : To   GeoLoop | 056.300
2017-10-09 11:08:26 | TEMPLOG : To   GeoLoop | 055.400
2017-10-09 11:11:29 | TEMPLOG : To   GeoLoop | 056.300
2017-10-09 11:13:31 | TEMPLOG : To   GeoLoop | 055.400
2017-10-09 11:17:33 | TEMPLOG : WellhouseOne | 041.900
2017-10-09 11:20:35 | TEMPLOG : To   GeoLoop | 056.300
2017-10-09 11:21:37 | TEMPLOG : Table    One | 050.900
2017-10-09 11:22:38 | TEMPLOG : To   GeoLoop | 055.400
2017-10-09 11:22:38 | TEMPLOG : Table    One | 051.800
2017-10-09 11:23:38 | TEMPLOG : WellhouseOne | 041.000
2017-10-09 11:24:40 | TEMPLOG : Table    One | 050.900
2017-10-09 11:25:41 | TEMPLOG : Table    One | 051.800
2017-10-09 11:27:44 | TEMPLOG : Table    One | 050.900
2017-10-09 11:28:44 | TEMPLOG : To   GeoLoop | 056.300
2017-10-09 11:28:44 | TEMPLOG : Table    One | 051.800
2017-10-09 11:31:46 | TEMPLOG : To   GeoLoop | 055.400
2017-10-09 11:32:47 | TEMPLOG : To   GeoLoop | 056.300
2017-10-09 11:33:49 | TEMPLOG : To   GeoLoop | 057.200
2017-10-09 11:34:49 | TEMPLOG : To   GeoLoop | 058.100
2017-10-09 11:35:50 | TEMPLOG : To   GeoLoop | 057.200
2017-10-09 11:36:52 | TEMPLOG : To   GeoLoop | 058.100
2017-10-09 11:36:52 | TEMPLOG : Table    One | 052.700
2017-10-09 11:37:53 | TEMPLOG : Table    One | 051.800
2017-10-09 11:39:55 | TEMPLOG : To   GeoLoop | 057.200
2017-10-09 11:47:01 | TEMPLOG : WellhouseOne | 041.900
2017-10-09 11:50:05 | TEMPLOG : To   GeoLoop | 058.100
2017-10-09 11:52:06 | TEMPLOG : Table    One | 052.700
2017-10-09 11:53:06 | TEMPLOG : WellhouseOne | 041.000
2017-10-09 11:53:07 | TEMPLOG : To   GeoLoop | 057.200
2017-10-09 11:54:07 | TEMPLOG : WellhouseOne | 041.900
2017-10-09 11:56:09 | TEMPLOG : WellhouseOne | 041.000
2017-10-09 11:57:10 | TEMPLOG : WellhouseOne | 041.900
2017-10-09 12:00:15 | TEMPLOG : WellhouseOne | 041.900
2017-10-09 12:00:15 | TEMPLOG : To   GeoLoop | 058.100
2017-10-09 12:00:15 | TEMPLOG : Table    One | 052.700
2017-10-09 12:06:19 | TEMPLOG : To   GeoLoop | 057.200
2017-10-09 12:08:21 | TEMPLOG : To   GeoLoop | 056.300
2017-10-09 12:09:22 | TEMPLOG : To   GeoLoop | 057.200
2017-10-09 12:15:30 | TEMPLOG : To   GeoLoop | 058.100
2017-10-09 12:18:34 | TEMPLOG : To   GeoLoop | 059.000
2017-10-09 12:19:34 | TEMPLOG : WellhouseOne | 042.800
2017-10-09 12:21:37 | TEMPLOG : Table    One | 053.600
2017-10-09 12:27:41 | TEMPLOG : To   GeoLoop | 059.900
2017-10-09 12:37:52 | TEMPLOG : To   GeoLoop | 059.000
2017-10-09 12:39:55 | TEMPLOG : To   GeoLoop | 059.900
2017-10-09 12:43:59 | TEMPLOG : To   GeoLoop | 060.800
2017-10-09 12:45:00 | TEMPLOG : To   GeoLoop | 059.000
2017-10-09 12:54:09 | TEMPLOG : WellhouseOne | 043.700
2017-10-09 12:55:10 | TEMPLOG : WellhouseOne | 042.800
2017-10-09 12:58:13 | TEMPLOG : WellhouseOne | 043.700
2017-10-09 13:00:14 | TEMPLOG : WellhouseOne | 042.800
2017-10-09 13:00:14 | TEMPLOG : To   GeoLoop | 059.000
2017-10-09 13:00:14 | TEMPLOG : Table    One | 053.600
2017-10-09 13:03:18 | TEMPLOG : Table    One | 052.700
2017-10-09 13:11:25 | TEMPLOG : WellhouseOne | 043.700
2017-10-09 13:11:25 | TEMPLOG : Table    One | 053.600
