2014-10-20 08:44:52 | -=< Temperature Logger Restart >=-
2014-10-20 08:44:52 | TEMPLOG : South Window | 056.300
2014-10-20 08:45:53 | TEMPLOG : South Window | 057.200
2014-10-20 08:48:53 | TEMPLOG : South Window | 058.100
2014-10-20 08:50:54 | TEMPLOG : South Window | 059.000
2014-10-20 08:51:55 | TEMPLOG : South Window | 059.900
2014-10-20 08:54:11 | TEMPLOG : South Window | 060.800
2014-10-20 08:55:11 | TEMPLOG : South Window | 061.700
2014-10-20 08:56:15 | TEMPLOG : South Window | 063.500
2014-10-20 08:57:15 | TEMPLOG : South Window | 064.400
2014-10-20 08:58:17 | TEMPLOG : South Window | 065.300
2014-10-20 09:00:18 | TEMPLOG : South Window | 066.200
2014-10-20 09:01:18 | TEMPLOG : South Window | 067.100
2014-10-20 09:03:21 | TEMPLOG : South Window | 068.000
2014-10-20 09:04:21 | TEMPLOG : South Window | 068.900
2014-10-20 09:06:24 | TEMPLOG : South Window | 069.800
2014-10-20 09:07:25 | TEMPLOG : South Window | 070.700
2014-10-20 09:09:26 | TEMPLOG : South Window | 071.600
2014-10-20 09:10:27 | TEMPLOG : South Window | 072.500
2014-10-20 09:12:28 | TEMPLOG : South Window | 073.400
2014-10-20 09:14:29 | TEMPLOG : South Window | 074.300
2014-10-20 09:16:31 | TEMPLOG : South Window | 075.200
2014-10-20 09:18:32 | TEMPLOG : South Window | 076.100
2014-10-20 09:20:33 | TEMPLOG : South Window | 077.000
2014-10-20 09:23:36 | TEMPLOG : South Window | 077.900
2014-10-20 09:26:37 | TEMPLOG : South Window | 078.800
2014-10-20 09:29:42 | TEMPLOG : South Window | 079.700
2014-10-20 09:31:44 | TEMPLOG : South Window | 080.600
2014-10-20 09:34:45 | TEMPLOG : South Window | 081.500
2014-10-20 09:39:48 | TEMPLOG : South Window | 082.400
2014-10-20 09:42:49 | TEMPLOG : South Window | 083.300
2014-10-20 09:43:50 | TEMPLOG : South Window | 084.200
2014-10-20 09:50:52 | TEMPLOG : South Window | 085.100
2014-10-20 09:53:53 | TEMPLOG : South Window | 086.000
2014-10-20 09:57:54 | TEMPLOG : South Window | 086.900
2014-10-20 09:59:55 | TEMPLOG : South Window | 087.800
2014-10-20 10:00:55 | TEMPLOG : South Window | 086.900
2014-10-20 10:04:58 | TEMPLOG : South Window | 087.800
2014-10-20 10:10:01 | TEMPLOG : South Window | 088.700
2014-10-20 10:14:04 | TEMPLOG : South Window | 089.600
2014-10-20 10:18:06 | TEMPLOG : South Window | 090.500
2014-10-20 10:24:08 | TEMPLOG : South Window | 091.400
2014-10-20 10:25:08 | TEMPLOG : South Window | 092.300
2014-10-20 10:26:09 | TEMPLOG : South Window | 091.400
2014-10-20 10:28:11 | TEMPLOG : South Window | 092.300
2014-10-20 10:29:11 | TEMPLOG : South Window | 093.200
2014-10-20 10:30:14 | TEMPLOG : South Window | 094.100
2014-10-20 10:31:14 | TEMPLOG : South Window | 095.000
2014-10-20 10:33:15 | TEMPLOG : South Window | 094.100
2014-10-20 10:35:17 | TEMPLOG : South Window | 093.200
2014-10-20 10:36:17 | TEMPLOG : South Window | 094.100
2014-10-20 10:38:18 | TEMPLOG : South Window | 093.200
2014-10-20 10:41:19 | TEMPLOG : South Window | 094.100
2014-10-20 10:45:21 | TEMPLOG : South Window | 095.000
2014-10-20 10:46:23 | TEMPLOG : South Window | 095.900
2014-10-20 10:49:24 | TEMPLOG : South Window | 096.800
2014-10-20 10:50:24 | TEMPLOG : South Window | 095.900
2014-10-20 10:53:25 | TEMPLOG : South Window | 095.000
2014-10-20 10:54:26 | TEMPLOG : South Window | 095.900
2014-10-20 10:58:27 | TEMPLOG : South Window | 096.800
2014-10-20 11:00:28 | TEMPLOG : South Window | 097.700
2014-10-20 11:02:30 | TEMPLOG : South Window | 098.600
2014-10-20 11:03:31 | TEMPLOG : South Window | 097.700
2014-10-20 11:04:31 | TEMPLOG : South Window | 098.600
2014-10-20 11:05:31 | TEMPLOG : South Window | 097.700
2014-10-20 11:06:32 | TEMPLOG : South Window | 096.800
2014-10-20 11:07:33 | TEMPLOG : South Window | 097.700
2014-10-20 11:08:33 | TEMPLOG : South Window | 098.600
2014-10-20 11:10:34 | TEMPLOG : South Window | 097.700
2014-10-20 11:13:36 | TEMPLOG : South Window | 098.600
2014-10-20 11:20:41 | TEMPLOG : South Window | 099.500
2014-10-20 11:27:45 | TEMPLOG : South Window | 100.400
2014-10-20 11:31:49 | TEMPLOG : South Window | 101.300
2014-10-20 11:37:54 | TEMPLOG : South Window | 102.200
2014-10-20 11:38:54 | TEMPLOG : South Window | 101.300
2014-10-20 11:39:55 | TEMPLOG : South Window | 102.200
2014-10-20 11:44:59 | TEMPLOG : South Window | 103.100
2014-10-20 11:50:03 | TEMPLOG : South Window | 104.000
2014-10-20 11:55:04 | TEMPLOG : South Window | 103.100
2014-10-20 11:57:05 | TEMPLOG : South Window | 104.000
2014-10-20 12:00:07 | TEMPLOG : South Window | 104.900
2014-10-20 12:05:09 | TEMPLOG : South Window | 105.800
2014-10-20 12:07:11 | TEMPLOG : South Window | 104.900
2014-10-20 12:08:11 | TEMPLOG : South Window | 105.800
2014-10-20 12:14:14 | TEMPLOG : South Window | 106.700
2014-10-20 12:15:14 | TEMPLOG : South Window | 107.600
2014-10-20 12:16:15 | TEMPLOG : South Window | 106.700
2014-10-20 12:17:16 | TEMPLOG : South Window | 105.800
2014-10-20 12:19:17 | TEMPLOG : South Window | 104.900
2014-10-20 12:20:18 | TEMPLOG : South Window | 105.800
2014-10-20 12:25:20 | TEMPLOG : South Window | 106.700
2014-10-20 12:26:21 | TEMPLOG : South Window | 105.800
2014-10-20 12:28:22 | TEMPLOG : South Window | 104.900
2014-10-20 12:29:22 | TEMPLOG : South Window | 105.800
2014-10-20 12:30:23 | TEMPLOG : South Window | 104.900
2014-10-20 12:31:23 | TEMPLOG : South Window | 104.000
2014-10-20 12:33:26 | TEMPLOG : South Window | 105.800
2014-10-20 12:36:27 | TEMPLOG : South Window | 106.700
2014-10-20 12:37:28 | TEMPLOG : South Window | 105.800
2014-10-20 12:38:28 | TEMPLOG : South Window | 104.000
2014-10-20 12:42:31 | TEMPLOG : South Window | 103.100
2014-10-20 12:45:32 | TEMPLOG : South Window | 104.000
2014-10-20 12:46:32 | TEMPLOG : South Window | 105.800
2014-10-20 12:48:33 | TEMPLOG : South Window | 106.700
2014-10-20 12:50:34 | TEMPLOG : South Window | 105.800
2014-10-20 12:52:35 | TEMPLOG : South Window | 106.700
2014-10-20 12:54:36 | TEMPLOG : South Window | 104.900
2014-10-20 12:55:37 | TEMPLOG : South Window | 105.800
2014-10-20 12:56:37 | TEMPLOG : South Window | 106.700
2014-10-20 12:57:37 | TEMPLOG : South Window | 104.900
2014-10-20 12:58:38 | TEMPLOG : South Window | 105.800
2014-10-20 12:59:38 | TEMPLOG : South Window | 104.000
2014-10-20 13:00:38 | TEMPLOG : South Window | 102.200
2014-10-20 13:01:39 | TEMPLOG : South Window | 101.300
2014-10-20 13:02:39 | TEMPLOG : South Window | 100.400
2014-10-20 13:03:40 | TEMPLOG : South Window | 102.200
2014-10-20 13:04:40 | TEMPLOG : South Window | 103.100
2014-10-20 13:05:41 | TEMPLOG : South Window | 104.000
2014-10-20 13:06:41 | TEMPLOG : South Window | 104.900
2014-10-20 13:07:41 | TEMPLOG : South Window | 104.000
2014-10-20 13:09:42 | TEMPLOG : South Window | 104.900
2014-10-20 13:10:42 | TEMPLOG : South Window | 104.000
2014-10-20 13:12:44 | TEMPLOG : South Window | 104.900
2014-10-20 13:13:44 | TEMPLOG : South Window | 104.000
2014-10-20 13:14:44 | TEMPLOG : South Window | 102.200
2014-10-20 13:15:45 | TEMPLOG : South Window | 104.000
2014-10-20 13:16:46 | TEMPLOG : South Window | 105.800
2014-10-20 13:21:50 | TEMPLOG : South Window | 104.000
2014-10-20 13:22:50 | TEMPLOG : South Window | 104.900
2014-10-20 13:23:51 | TEMPLOG : South Window | 104.000
2014-10-20 13:24:51 | TEMPLOG : South Window | 104.900
2014-10-20 13:28:55 | TEMPLOG : South Window | 103.100
2014-10-20 13:29:55 | TEMPLOG : South Window | 104.900
2014-10-20 13:30:56 | TEMPLOG : South Window | 105.800
2014-10-20 13:31:56 | TEMPLOG : South Window | 104.000
2014-10-20 13:32:57 | TEMPLOG : South Window | 105.800
2014-10-20 13:33:58 | TEMPLOG : South Window | 106.700
2014-10-20 13:36:59 | TEMPLOG : South Window | 105.800
2014-10-20 13:37:59 | TEMPLOG : South Window | 104.900
2014-10-20 13:39:00 | TEMPLOG : South Window | 104.000
2014-10-20 13:40:00 | TEMPLOG : South Window | 104.900
2014-10-20 13:41:01 | TEMPLOG : South Window | 105.800
2014-10-20 13:42:01 | TEMPLOG : South Window | 106.700
2014-10-20 13:44:02 | TEMPLOG : South Window | 107.600
2014-10-20 13:48:04 | TEMPLOG : South Window | 106.700
2014-10-20 13:49:05 | TEMPLOG : South Window | 105.800
2014-10-20 13:51:06 | TEMPLOG : South Window | 104.900
