2014-10-16 10:23:24 | -=< Temperature Logger Restart >=-
2014-10-16 10:23:25 | TEMPLOG : South Window | 068.900
2014-10-16 10:25:27 | TEMPLOG : South Window | 069.013
2014-10-16 10:26:29 | TEMPLOG : South Window | 069.125
2014-10-16 10:28:31 | TEMPLOG : South Window | 069.237
2014-10-16 10:29:32 | TEMPLOG : South Window | 069.125
2014-10-16 10:31:38 | TEMPLOG : South Window | 069.013
2014-10-16 10:32:39 | TEMPLOG : South Window | 068.900
2014-10-16 10:37:51 | TEMPLOG : South Window | 069.013
2014-10-16 10:38:52 | TEMPLOG : South Window | 069.125
2014-10-16 10:39:54 | TEMPLOG : South Window | 069.237
2014-10-16 10:40:56 | TEMPLOG : South Window | 069.350
2014-10-16 10:44:09 | TEMPLOG : South Window | 069.463
2014-10-16 10:45:12 | TEMPLOG : South Window | 069.350
2014-10-16 10:46:13 | TEMPLOG : South Window | 069.463
2014-10-16 10:50:22 | TEMPLOG : South Window | 069.575
2014-10-16 10:52:31 | TEMPLOG : South Window | 069.463
2014-10-16 10:56:36 | TEMPLOG : South Window | 069.800
2014-10-16 10:57:39 | TEMPLOG : South Window | 070.025
2014-10-16 11:00:42 | TEMPLOG : South Window | 070.138
2014-10-16 11:04:47 | TEMPLOG : South Window | 070.250
2014-10-16 11:05:49 | TEMPLOG : South Window | 070.138
2014-10-16 11:06:50 | TEMPLOG : South Window | 070.700
2014-10-16 11:07:51 | TEMPLOG : South Window | 071.375
2014-10-16 11:08:52 | TEMPLOG : South Window | 072.388
2014-10-16 11:09:53 | TEMPLOG : South Window | 072.950
2014-10-16 11:10:58 | TEMPLOG : South Window | 073.287
2014-10-16 11:12:04 | TEMPLOG : South Window | 073.850
2014-10-16 11:13:07 | TEMPLOG : South Window | 075.312
2014-10-16 11:14:08 | TEMPLOG : South Window | 076.550
2014-10-16 11:15:09 | TEMPLOG : South Window | 077.450
2014-10-16 11:16:10 | TEMPLOG : South Window | 078.125
2014-10-16 11:17:12 | TEMPLOG : South Window | 080.150
2014-10-16 11:18:13 | TEMPLOG : South Window | 080.938
2014-10-16 11:19:14 | TEMPLOG : South Window | 082.287
2014-10-16 11:20:17 | TEMPLOG : South Window | 082.175
2014-10-16 11:21:18 | TEMPLOG : South Window | 081.838
2014-10-16 11:22:21 | TEMPLOG : South Window | 081.275
2014-10-16 11:23:22 | TEMPLOG : South Window | 080.825
2014-10-16 11:24:23 | TEMPLOG : South Window | 081.500
2014-10-16 11:25:24 | TEMPLOG : South Window | 082.175
2014-10-16 11:26:25 | TEMPLOG : South Window | 084.312
2014-10-16 11:27:27 | TEMPLOG : South Window | 084.987
2014-10-16 11:28:28 | TEMPLOG : South Window | 085.888
2014-10-16 11:29:34 | TEMPLOG : South Window | 086.450
2014-10-16 11:30:35 | TEMPLOG : South Window | 086.112
2014-10-16 11:31:36 | TEMPLOG : South Window | 087.688
2014-10-16 11:32:38 | TEMPLOG : South Window | 088.362
2014-10-16 11:33:39 | TEMPLOG : South Window | 088.475
2014-10-16 11:34:41 | TEMPLOG : South Window | 088.025
2014-10-16 11:35:46 | TEMPLOG : South Window | 087.237
2014-10-16 11:36:49 | TEMPLOG : South Window | 087.575
2014-10-16 11:37:50 | TEMPLOG : South Window | 088.588
2014-10-16 11:38:52 | TEMPLOG : South Window | 089.487
2014-10-16 11:39:53 | TEMPLOG : South Window | 090.162
2014-10-16 11:40:54 | TEMPLOG : South Window | 089.938
2014-10-16 11:41:57 | TEMPLOG : South Window | 089.713
2014-10-16 11:42:58 | TEMPLOG : South Window | 089.487
2014-10-16 11:44:01 | TEMPLOG : South Window | 089.037
2014-10-16 11:45:02 | TEMPLOG : South Window | 088.812
2014-10-16 11:46:05 | TEMPLOG : South Window | 088.925
2014-10-16 11:47:06 | TEMPLOG : South Window | 089.150
2014-10-16 11:48:07 | TEMPLOG : South Window | 088.700
2014-10-16 11:49:10 | TEMPLOG : South Window | 087.800
2014-10-16 11:50:11 | TEMPLOG : South Window | 087.237
2014-10-16 11:51:12 | TEMPLOG : South Window | 087.013
2014-10-16 11:52:13 | TEMPLOG : South Window | 089.037
2014-10-16 11:53:15 | TEMPLOG : South Window | 089.487
2014-10-16 11:54:16 | TEMPLOG : South Window | 089.713
2014-10-16 11:55:17 | TEMPLOG : South Window | 088.925
2014-10-16 11:56:23 | TEMPLOG : South Window | 088.475
2014-10-16 11:58:34 | TEMPLOG : South Window | 087.912
2014-10-16 11:59:35 | TEMPLOG : South Window | 088.025
2014-10-16 12:00:36 | TEMPLOG : South Window | 088.138
2014-10-16 12:01:37 | TEMPLOG : South Window | 088.025
2014-10-16 12:02:39 | TEMPLOG : South Window | 087.800
2014-10-16 12:03:40 | TEMPLOG : South Window | 087.688
2014-10-16 12:04:42 | TEMPLOG : South Window | 087.013
2014-10-16 12:06:46 | TEMPLOG : South Window | 086.675
2014-10-16 12:07:47 | TEMPLOG : South Window | 086.562
2014-10-16 12:08:50 | TEMPLOG : South Window | 087.350
