2014-10-22 08:41:09 | -=< Temperature Logger Restart >=-
2014-10-22 08:41:10 | TEMPLOG : South Window | 059.000
2014-10-22 08:44:11 | TEMPLOG : South Window | 059.900
2014-10-22 08:45:11 | TEMPLOG : South Window | 060.800
2014-10-22 08:47:12 | TEMPLOG : South Window | 061.700
2014-10-22 08:48:12 | TEMPLOG : South Window | 062.600
2014-10-22 08:49:13 | TEMPLOG : South Window | 063.500
2014-10-22 08:51:14 | TEMPLOG : South Window | 062.600
2014-10-22 08:54:16 | TEMPLOG : South Window | 063.500
2014-10-22 08:55:16 | TEMPLOG : South Window | 064.400
2014-10-22 08:56:16 | TEMPLOG : South Window | 065.300
2014-10-22 08:57:17 | TEMPLOG : South Window | 066.200
2014-10-22 08:58:18 | TEMPLOG : South Window | 067.100
2014-10-22 09:00:19 | TEMPLOG : South Window | 068.000
2014-10-22 09:02:22 | TEMPLOG : South Window | 068.900
2014-10-22 09:03:22 | TEMPLOG : South Window | 068.000
2014-10-22 09:08:26 | TEMPLOG : South Window | 068.900
2014-10-22 09:09:26 | TEMPLOG : South Window | 069.800
2014-10-22 09:12:27 | TEMPLOG : South Window | 070.700
2014-10-22 09:13:28 | TEMPLOG : South Window | 071.600
2014-10-22 09:14:28 | TEMPLOG : South Window | 072.500
2014-10-22 09:16:29 | TEMPLOG : South Window | 073.400
2014-10-22 09:18:30 | TEMPLOG : South Window | 074.300
2014-10-22 09:21:33 | TEMPLOG : South Window | 075.200
2014-10-22 09:23:34 | TEMPLOG : South Window | 076.100
2014-10-22 09:27:36 | TEMPLOG : South Window | 077.000
2014-10-22 09:29:39 | TEMPLOG : South Window | 077.900
2014-10-22 09:33:42 | TEMPLOG : South Window | 078.800
2014-10-22 09:34:42 | TEMPLOG : South Window | 077.900
2014-10-22 09:35:43 | TEMPLOG : South Window | 078.800
2014-10-22 09:39:44 | TEMPLOG : South Window | 079.700
2014-10-22 09:40:44 | TEMPLOG : South Window | 080.600
2014-10-22 09:43:46 | TEMPLOG : South Window | 081.500
2014-10-22 09:46:48 | TEMPLOG : South Window | 082.400
2014-10-22 09:53:56 | TEMPLOG : South Window | 081.500
2014-10-22 09:55:57 | TEMPLOG : South Window | 082.400
2014-10-22 09:58:59 | TEMPLOG : South Window | 081.500
2014-10-22 10:04:03 | TEMPLOG : South Window | 082.400
2014-10-22 10:05:03 | TEMPLOG : South Window | 081.500
2014-10-22 10:06:07 | TEMPLOG : South Window | 080.600
2014-10-22 10:07:08 | TEMPLOG : South Window | 081.500
2014-10-22 10:11:10 | TEMPLOG : South Window | 082.400
2014-10-22 10:14:12 | TEMPLOG : South Window | 083.300
2014-10-22 10:16:12 | TEMPLOG : South Window | 084.200
2014-10-22 10:18:13 | TEMPLOG : South Window | 085.100
2014-10-22 10:21:14 | TEMPLOG : South Window | 086.000
2014-10-22 10:22:14 | TEMPLOG : South Window | 084.200
2014-10-22 10:23:15 | TEMPLOG : South Window | 083.300
2014-10-22 10:25:16 | TEMPLOG : South Window | 084.200
2014-10-22 10:26:16 | TEMPLOG : South Window | 083.300
2014-10-22 10:29:17 | TEMPLOG : South Window | 082.400
2014-10-22 10:30:18 | TEMPLOG : South Window | 081.500
2014-10-22 10:32:22 | TEMPLOG : South Window | 082.400
2014-10-22 10:34:23 | TEMPLOG : South Window | 081.500
2014-10-22 10:35:23 | TEMPLOG : South Window | 082.400
2014-10-22 10:36:24 | TEMPLOG : South Window | 080.600
2014-10-22 10:39:25 | TEMPLOG : South Window | 079.700
2014-10-22 10:40:25 | TEMPLOG : South Window | 078.800
2014-10-22 10:41:26 | TEMPLOG : South Window | 077.900
2014-10-22 10:42:26 | TEMPLOG : South Window | 077.000
2014-10-22 10:46:29 | TEMPLOG : South Window | 076.100
2014-10-22 10:52:31 | TEMPLOG : South Window | 077.000
2014-10-22 10:54:32 | TEMPLOG : South Window | 076.100
2014-10-22 10:56:34 | TEMPLOG : South Window | 077.000
2014-10-22 11:09:40 | TEMPLOG : South Window | 077.900
2014-10-22 11:10:40 | TEMPLOG : South Window | 077.000
2014-10-22 11:13:43 | TEMPLOG : South Window | 076.100
2014-10-22 11:16:44 | TEMPLOG : South Window | 075.200
2014-10-22 11:21:47 | TEMPLOG : South Window | 074.300
2014-10-22 11:29:51 | TEMPLOG : South Window | 073.400
2014-10-22 11:32:52 | TEMPLOG : South Window | 072.500
2014-10-22 11:34:54 | TEMPLOG : South Window | 071.600
2014-10-22 11:41:02 | TEMPLOG : South Window | 070.700
2014-10-22 11:52:14 | TEMPLOG : South Window | 071.600
2014-10-22 11:53:14 | TEMPLOG : South Window | 072.500
2014-10-22 11:54:15 | TEMPLOG : South Window | 073.400
2014-10-22 11:55:15 | TEMPLOG : South Window | 074.300
2014-10-22 11:56:16 | TEMPLOG : South Window | 075.200
2014-10-22 12:00:19 | TEMPLOG : South Window | 076.100
2014-10-22 12:02:20 | TEMPLOG : South Window | 077.900
2014-10-22 12:03:21 | TEMPLOG : South Window | 078.800
2014-10-22 12:04:21 | TEMPLOG : South Window | 079.700
2014-10-22 12:05:21 | TEMPLOG : South Window | 081.500
2014-10-22 12:06:22 | TEMPLOG : South Window | 082.400
2014-10-22 12:08:23 | TEMPLOG : South Window | 083.300
2014-10-22 12:10:23 | TEMPLOG : South Window | 084.200
2014-10-22 12:11:25 | TEMPLOG : South Window | 085.100
2014-10-22 12:12:27 | TEMPLOG : South Window | 086.000
2014-10-22 12:15:31 | TEMPLOG : South Window | 086.900
2014-10-22 12:16:32 | TEMPLOG : South Window | 086.000
2014-10-22 12:17:32 | TEMPLOG : South Window | 086.900
2014-10-22 12:19:33 | TEMPLOG : South Window | 087.800
2014-10-22 12:20:34 | TEMPLOG : South Window | 088.700
2014-10-22 12:25:37 | TEMPLOG : South Window | 089.600
2014-10-22 12:28:39 | TEMPLOG : South Window | 090.500
2014-10-22 12:29:40 | TEMPLOG : South Window | 091.400
2014-10-22 12:33:42 | TEMPLOG : South Window | 092.300
2014-10-22 12:35:43 | TEMPLOG : South Window | 093.200
